,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Earnings From Equity Interest Net Of Tax,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,ticker,Write Off,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Otherunder Preferred Stock Dividend,Other Special Charges,Other Operating Expenses,Average Dilution Earnings,Selling And Marketing Expense,Gain On Sale Of Ppe,Impairment Of Capital Assets,Provision For Doubtful Accounts,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded,Earnings From Equity Interest,Total Other Finance Cost,Depreciation Income Statement,Preferred Stock Dividends,Other Taxes,Excise Taxes,Professional Expense And Contract Services Expense,Other Non Interest Expense,Rent Expense Supplemental,Rent And Landing Fees,Occupancy And Equipment,Insurance And Claims,Net Income From Tax Loss Carryforward,Net Income Extraordinary,Securities Amortization,Depletion Income Statement
2024-09-30,0.0,0.233,178400000.0,0.0,0.0,120100000.0,20300000.0,565300000.0,178400000.0,158100000.0,-1500000.0,1500000.0,,120100000.0,120100000.0,741900000.0,,146700000.0,146700000.0,0.818678,0.818678,120100000.0,120100000.0,120100000.0,,120100000.0,,120100000.0,,36500000.0,156600000.0,-2600000.0,-2600000.0,0.0,,,,-1500000.0,1500000.0,,160700000.0,176600000.0,,176600000.0,,,,337300000.0,565300000.0,902600000.0,902600000.0,AOS,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,0.0,0.244,228000000.0,0.0,0.0,156200000.0,19600000.0,628300000.0,228000000.0,208400000.0,-1800000.0,1800000.0,,156200000.0,156200000.0,816800000.0,,147600000.0,147600000.0,1.058266,1.058266,156200000.0,156200000.0,156200000.0,,156200000.0,,156200000.0,,50400000.0,206600000.0,900000.0,900000.0,0.0,,,,-1800000.0,1800000.0,,207500000.0,188500000.0,,188500000.0,,,,396000000.0,628300000.0,1024300000.0,1024300000.0,AOS,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,AOS,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,,,,-3200000.0,-3200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3200000.0,,,,,,,,,,,,,,,,,,AOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,1898139.534884,0.172558,3037000000.0,11000000.0,11000000.0,1779000000.0,777000000.0,4497000000.0,3048000000.0,2271000000.0,-50000000.0,121000000.0,71000000.0,1769898139.534884,1779000000.0,9090000000.0,2052000000.0,1751000000.0,1740459014.0,1.01,1.022144,1779000000.0,1779000000.0,1779000000.0,,1779000000.0,,1779000000.0,,371000000.0,2150000000.0,148000000.0,137000000.0,,,,11000000.0,-50000000.0,121000000.0,71000000.0,2052000000.0,4236000000.0,725000000.0,3091000000.0,,,,6288000000.0,4854000000.0,11142000000.0,11142000000.0,ABT,,420000000.0,420000000.0,420000000.0,420000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,1783464.566929,0.254781,2658000000.0,7000000.0,7000000.0,1325000000.0,756000000.0,4132000000.0,2665000000.0,1909000000.0,-49000000.0,131000000.0,82000000.0,1319783464.566929,1325000000.0,8665000000.0,1693000000.0,1747220000.0,1739206000.0,0.76,0.76,1325000000.0,1325000000.0,1325000000.0,,1325000000.0,,1325000000.0,,453000000.0,1778000000.0,134000000.0,127000000.0,,,,7000000.0,-49000000.0,131000000.0,82000000.0,1693000000.0,4197000000.0,716000000.0,3061000000.0,,,,5890000000.0,4468000000.0,10358000000.0,10358000000.0,ABT,,420000000.0,420000000.0,420000000.0,420000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,2100000.0,0.21,2963000000.0,10000000.0,10000000.0,9229000000.0,807000000.0,4600000000.0,2973000000.0,2166000000.0,-45000000.0,136000000.0,91000000.0,9221100000.0,9229000000.0,9063000000.0,1911000000.0,1746000000.0,1731697991.0,5.27,5.329451,9229000000.0,9229000000.0,9229000000.0,,9229000000.0,,9229000000.0,,-7199000000.0,2030000000.0,164000000.0,154000000.0,,,,10000000.0,-45000000.0,136000000.0,91000000.0,1911000000.0,4121000000.0,749000000.0,2907000000.0,,,,6032000000.0,4942000000.0,10974000000.0,10974000000.0,ABT,,465000000.0,465000000.0,465000000.0,465000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,1667010.309278,0.151546,2872000000.0,11000000.0,11000000.0,1646000000.0,801000000.0,4367000000.0,2883000000.0,2082000000.0,-51000000.0,142000000.0,91000000.0,1636667010.309278,1646000000.0,8776000000.0,1859000000.0,1748000000.0,1734455938.0,0.94,0.949001,1646000000.0,1646000000.0,1646000000.0,,1646000000.0,,1646000000.0,,294000000.0,1940000000.0,132000000.0,121000000.0,,,,11000000.0,-51000000.0,142000000.0,91000000.0,1859000000.0,4078000000.0,713000000.0,2895000000.0,,,,5937000000.0,4698000000.0,10635000000.0,10635000000.0,ABT,,470000000.0,470000000.0,470000000.0,470000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,1138767.890479,0.189795,2546000000.0,6000000.0,6000000.0,1302000000.0,805000000.0,4269000000.0,2552000000.0,1747000000.0,-58000000.0,140000000.0,82000000.0,1297138767.890479,1302000000.0,8708000000.0,1669000000.0,1751000000.0,1739897004.0,0.74,0.74832,1302000000.0,1302000000.0,1302000000.0,,1302000000.0,,1302000000.0,,305000000.0,1607000000.0,-4000000.0,-10000000.0,,,,6000000.0,-58000000.0,140000000.0,82000000.0,1669000000.0,4105000000.0,698000000.0,2936000000.0,,,,5774000000.0,4603000000.0,10377000000.0,10377000000.0,ABT,,471000000.0,471000000.0,471000000.0,471000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,-333718146.718147,0.394466,5190000000.0,-846000000.0,-846000000.0,938000000.0,2050000000.0,4346000000.0,4344000000.0,2294000000.0,-678000000.0,740000000.0,62000000.0,1450281853.281853,938000000.0,9706000000.0,4894000000.0,1771000000.0,1766461114.0,0.52,0.531005,928000000.0,928000000.0,938000000.0,-3000000.0,941000000.0,,941000000.0,,613000000.0,1554000000.0,-3485000000.0,-2639000000.0,-823000000.0,,,-23000000.0,-678000000.0,740000000.0,62000000.0,5717000000.0,5360000000.0,2131000000.0,3253000000.0,,,,11077000000.0,4346000000.0,15423000000.0,15423000000.0,ABBV,,,,,,10000000.0,823000000.0,-24000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,-55440000.0,0.22,4652000000.0,-252000000.0,-252000000.0,1286000000.0,2039000000.0,4002000000.0,4400000000.0,2361000000.0,-627000000.0,700000000.0,73000000.0,1482560000.0,1286000000.0,9362000000.0,3733000000.0,1772000000.0,1766288379.0,0.72,0.72808,1276000000.0,1276000000.0,1286000000.0,-3000000.0,1289000000.0,,1289000000.0,,372000000.0,1661000000.0,-1693000000.0,-1441000000.0,-248000000.0,,,-4000000.0,-627000000.0,700000000.0,73000000.0,3981000000.0,5360000000.0,2067000000.0,3293000000.0,,,,9341000000.0,4002000000.0,13343000000.0,13343000000.0,ABBV,,,,,,10000000.0,248000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,-334530000.0,0.21,2128000000.0,-1593000000.0,-1593000000.0,-22000000.0,2102000000.0,4396000000.0,535000000.0,-1567000000.0,-610000000.0,702000000.0,92000000.0,1236470000.0,-22000000.0,15018000000.0,-1490000000.0,1769000000.0,1765256986.0,-0.02,-0.012463,-32000000.0,-32000000.0,-22000000.0,1000000.0,-23000000.0,,-23000000.0,,-2246000000.0,-2269000000.0,-1743000000.0,-150000000.0,-1574000000.0,,,-19000000.0,-610000000.0,702000000.0,92000000.0,84000000.0,10622000000.0,6774000000.0,3855000000.0,,,,10706000000.0,4396000000.0,15102000000.0,15102000000.0,ABBV,,,,,,10000000.0,1574000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,-19750000.0,0.25,4962000000.0,-79000000.0,-79000000.0,1561000000.0,2079000000.0,4212000000.0,4883000000.0,2804000000.0,-591000000.0,720000000.0,129000000.0,1620250000.0,1561000000.0,10547000000.0,3831000000.0,1772000000.0,1767104613.0,0.88,0.883366,1551000000.0,1551000000.0,1561000000.0,-3000000.0,1564000000.0,,1564000000.0,,520000000.0,2084000000.0,-1238000000.0,-1159000000.0,-82000000.0,,,3000000.0,-591000000.0,720000000.0,129000000.0,3913000000.0,6335000000.0,2130000000.0,4205000000.0,,,,10248000000.0,4212000000.0,14460000000.0,14460000000.0,ABBV,,,,,,10000000.0,82000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,-337872320.596459,0.360205,5941000000.0,-938000000.0,-938000000.0,1370000000.0,2131000000.0,4202000000.0,5003000000.0,2872000000.0,-506000000.0,726000000.0,220000000.0,1970127679.403541,1370000000.0,9527000000.0,3998000000.0,1771000000.0,1765942851.0,0.77,0.77579,1360000000.0,1360000000.0,1370000000.0,-3000000.0,1373000000.0,,1373000000.0,,773000000.0,2146000000.0,-2283000000.0,-1345000000.0,-937000000.0,,937000000.0,-1000000.0,-506000000.0,726000000.0,220000000.0,4935000000.0,5325000000.0,1948000000.0,3377000000.0,,,,10260000000.0,4202000000.0,14462000000.0,14462000000.0,ABBV,,,,,,10000000.0,937000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164000000.0,,,,,,,,,,,,,,,,ABBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABBV,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-31,0.0,0.24,3310745000.0,,,2197501000.0,292005000.0,11901221000.0,3310745000.0,3018740000.0,11386000.0,67601000.0,78987000.0,2197501000.0,2197501000.0,14745089000.0,2982782000.0,630457461.0,624343707.0,3.49,3.52,2199560000.0,2197501000.0,2197501000.0,-46462000.0,2243963000.0,,2243963000.0,,707176000.0,2951139000.0,-43029000.0,-43029000.0,,,,,11386000.0,67601000.0,78987000.0,2982782000.0,2843868000.0,,2843868000.0,1081369000.0,1081369000.0,,5826650000.0,11901221000.0,17727871000.0,17727871000.0,ACN,,,,,,,,,2059000.0,1762499000.0,,,,,,,,,,,,,,,,,,,,,,,
